id,tweet,label,domain,sentiment,emotion,Severity,Explain
65,"@NYTsupport Your website no longer remembers that I'm a subscriber. Safari 5.1.1, OS 10.6.8",1,other,Negative,sadness,3,Your website no longer remembers that I'm a subscribe.
66,A little help with this jean problem please. Only worn a few times and this has happened. #tragedy @TommyHilfiger http://t.co/gbMYlz02xD,1,apparel,Negative,sadness,2,A little help with this jean problem please. Only worn a few times and this has happened
67,@blackanddecker Was using my new laser level and the drywall pin broke off. Advice? http://t.co/PfKLUeh1Iw,1,other,Negative,sadness,1,Was using my new laser level and the drywall pin broke off. Advice? 
68,@tommyHilfiger hi guys. I buy a ton of your clothes.. I have lost the pully to pull down the zipper on my grey woolen top.. Can you help?,0,apparel,Positive,sadness,0,hi guys. I buy a ton of your clothes.. I have lost the pully to pull down the zipper on my grey woolen top.. Can you help?
69,"@TommyHilfiger Your online eu store is not working and your ""support"" is ignoring the problem. Can not submit the order.",1,apparel,Negative,anger,3,"Your online eu store is not working and your ""support"" is ignoring the problem."
70,@nytimes I'm recieving terrible home delivery service from you. My paper never gets to me! #help,1,other,Negative,anger,4,I'm recieving terrible home delivery service from you. My paper never gets to me! 
71,@NYTsupport i have complained a dozen times &amp; yet my papers are still thrown FAR from my door. Why is this so hard to resolve?,1,other,Negative,anger,4,have complained a dozen times &amp; yet my papers are still thrown FAR from my door. Why is this so hard to resolve?
72,I need to stop wearing Tommy Hilfiger i forgot  hes a racist motherfucker,1,apparel,Negative,anger,3,I need to stop wearing Tommy Hilfiger i forgot hes a racist motherfucker
73,@NYTsupport 3 unanswered emails &amp; 1 phone call to you. I still haven't received a paper since the end of May. What is the problem?!,1,other,Negative,anger,3,3 unanswered emails &amp; 1 phone call to you. I still haven't received a paper since the end of May. What is the problem
74,I've had a 1-cuper #coffee machine for over 10 yrs from @blackanddecker that's still going strong. It's nice when products last a long time.,0,other,Positive,joy,0,It's nice when products last a long time.
75,@blackanddecker check this #ThrowbackThursday http://t.co/CcqZNUbn1e,0,other,Neutral,other,0,no cause
76,@TommyHilfiger clothing collections are only some support please link ?,0,apparel,Positive,other,0,clothing collections are only some support please link ?
77,@TommyHilfiger has the most pathetic cust service in India. They haven't sorted a simple issue of replacing a sub stndrd bag for 20 months,1,apparel,Negative,anger,4,has the most pathetic cust service in India. They haven't sorted a simple issue of replacing a sub stndrd bag for 20 months
78,"@NYTsupport Just talked to Liam, a resolution expert. Problem solved - he was great. Thks.",0,other,Positive,joy,0,Problem solved - he was great. Thks.
79,@denis_ricardo_ he's racist @TommyHilfiger I H8 U,1,apparel,Negative,anger,3,he's racist @TommyHilfiger I H8 U
80,"Oh @blackanddecker #foodprocessor, where have you been all my life? WAY easier to make #homemade #sunbutter than a blender!!",0,other,Positive,joy,0,WAY easier to make #homemade #sunbutter than a blender!!
81,@blackanddecker sure wish I had read the reviews first. Now mine is broke and you won't honor the warranty! http://t.co/5FaKX8LGlB,1,other,Negative,anger,3,mine is broke and you won't honor the warranty! 
82,"@TommyHilfiger the United States. I enjoyed the product, price and we are in the cart. I want to make the payment and purchase.",0,apparel,Positive,joy,0,"I enjoyed the product, price and we are in the cart."
83,LOVE my @blackanddecker bread machine but the paddles won't stay on in the basket anymore &amp; the kneading is non existent... How can I fix it,1,other,negative,sadness,1,the paddles won't stay on in the basket anymore &amp; the kneading is non existent... How can I fix it
84,"@TommyHilfiger I'm wearing TH jeans I bought 10+ years ago, bc I lost 53+ pounds. Please send help: I can't find new jeans 4 my new body Lol",1,apparel,Positive,other,1, Please send help: I can't find new jeans 4 my new body Lol
85,"@TommyHilfiger stiching on chino's bought 1 month ago in westfield london ripped, no help from shop. Dissapointing. http://t.co/JnGNxpqv2s",1,apparel,Negative,sadness,3,"stiching on chino's bought 1 month ago in westfield london ripped, no help from shop.  Dissapointing"
86,My husband could not have made his recent dumpster dive any more beautiful without the help of Black &amp; Decker and... http://t.co/V2YhbDrOF0,0,other,Positive,surprise,0,have made his recent dumpster dive any more beautiful without the help of Black &amp; Decker
87,"@blackanddecker So my wife bought me the 4amp Matrix drill.. I am pretty excited about it, too. Now I need some attachments!",0,other,Positive,joy,0,"I am pretty excited about it, too. Now I need some attachments!"
88,@TommyHilfiger is my new favorite store,0,apparel,Positive,joy,0,my new favorite store
89,"I wonder how many valid @blackanddecker warranties were denied today due to made-up, illegitimate policy. Schools aren't commercial property",1,other,Negative,anger,2,"I wonder how many valid @blackanddecker warranties were denied today due to made-up, illegitimate policy."
90,@NYTsupport why do you offer a subscription $1/wk then when I click to order it's $1.50/wk?,1,other,Neutral,sadness,3,why do you offer a subscription $1/wk then when I click to order it's $1.50/wk?
91,@ColbyGoon but he also went on Oprah and made the racist statements,0,apparel,Negative,anger,0,but he also went on Oprah and made the racist statements
92,@blackanddecker Thank you very much. http://t.co/Amd1lUH7x1,0,other,Positive,joy,0,Thank you very much.
93,@TommyHilfiger Bought a belt in store in Vienna. Need to change it. But live in Germany. Leaving now. How do we proceed? Store has closed.,0,apparel,Neutral,other,0,Bought a belt in store in Vienna. Need to change it. But live in Germany. Leaving now. How do we proceed? Store has closed.
94,@blackanddecker none so far. need a new coffee brewer. broke mine when we moved house #coffeebreak #mondaymotivation,0,other,Negative,other,0,need a new coffee brewer. broke mine when we moved house #coffeebreak #mondaymotivation
95,@TommyHilfiger Impossible to order on FR website ?? electronicsnical issues ? Many tries with different debit card... tks http://t.co/80EmCPxYfI,1,apparel,Neutral,anger,3,Impossible to order on FR website ?? electronicsnical issues ? Many tries with different debit card... tks
96,Too bad @TommyHilfiger doesn't want black people wearing his clothes. I heard.,1,apparel,Negative,other,3,Too bad @TommyHilfiger doesn't want black people wearing his clothes.
97,Thank you @blackanddecker for making good on my warranty issues. It took time but you did the right thing. #tooltips,0,other,Positive,joy,0,Thank you @blackanddecker for making good on my warranty issues. It took time but you did the right thing.
98,@blackanddecker nothing? Where can I buy this? It's very frustrating!,1,other,Negative,anger,2,Where can I buy this? It's very frustrating!
99,Remember this table I painted a couple weeks ago? (details here: http://t.co/0YuTm2GcLl) Well my husband (who... http://t.co/5TJItw4WUg,0,other,Positive,other,0,no cause
100,When you go to grab an unopened beer and it's only half full... Thanks @MichelobULTRA,1,food,Positive,other,4,go to grab an unopened beer and it's only half full.
101,Expired beer that we bought today? Whuuuut? @budlight #budlight #budweiser #dammit http://t.co/AXNieZ5oJf,1,food,Neutral,anger,2,Expired beer that we bought today? Whuuuut?#budlight #budweiser #dammit
102,@ShockTop there was a piece of glass in one of your 16oz cans. It just sliced my mouth open. http://t.co/B6dL66H6yR,1,food,Neutral,anger,4,there was a piece of glass in one of your 16oz cans. It just sliced my mouth open.
103,@budlight @Budweiser @ksboldtownalex This Bud light is having an identity crisis. #bartender #ksboldtownalex http://t.co/bC6bWYQ7lL,0,food,Negative,other,0,This Bud light is having an identity crisis.
104,@budlight I just had 2 beers in an 18 pack half full and still carbonated. #nothappy,1,food,Neutral,anger,2,I just had 2 beers in an 18 pack half full and still carbonated. #nothappy
105,Thanks @SamsClub for selling expired beer #fail @budlight http://t.co/V6pH1RQN4Y,1,food,Negative,other,4,Thanks @SamsClub for selling expired beer #fail
106,Just opened a fresh Bud Light that was filled with water. Please explain @budlight.,1,food,neutral,sadness,3,Just opened a fresh Bud Light that was filled with water. Please explain
107,Think someone at @Budweiser had been drinking the stuff before they put the label on #qualitycontroldayoff http://t.co/GqcccaD0Xl,1,food,Neutral,anger,2,Think someone at @Budweiser had been drinking the stuff before they put the label on #qualitycontroldayoff
108,@AnheuserBusch are you kidding me? #buschleague #designflaw #recall http://t.co/zdYax4JrXE,1,food,negative,anger,2,are you kidding me? #buschleague #designflaw #recall
109,@budlight Is this the kind of product your distributors sale now? http://t.co/rwApWpSuxT,1,food,Neutral,anger,2,Is this the kind of product your distributors sale now?
110,"Mean-spirited #ParkingDirtySF as @Budweiser driver yelled ""you bikes are f***ing everything up!"", Market &amp; 2nd http://t.co/oOeyUAUpCh",1,food,Neutral,anger,4,"Mean-spirited #ParkingDirtySF as @Budweiser driver yelled ""you bikes are f***ing everything up!"", Market &amp"
111,@ShockTop This is the last time I buy shocktop. If ingredients said floaty flavor and crusty necks I might drink it. http://t.co/2bnPE5Q1Uw,1,food,Neutral,anger,2,This is the last time I buy shocktop. If ingredients said floaty flavor and crusty necks I might drink it.
112,Again @budlight ? I was up for whatever. Except this http://t.co/E6hcxJgVK7,1,food,Neutral,anger,2,Again @budlight ? I was up for whatever. Except this
113,No tab on my can? What the @Budweiser http://t.co/xyrAeQvdCs,1,food,Negative,anger,3,No tab on my can?
114,I just got cut off by a bud light truck. Aka the worlds shittiest beer. @budlight,1,food,Negative,anger,4,I just got cut off by a bud light truck. Aka the worlds shittiest beer.
115,@budlight opened my case and was sad one of my beers died http://t.co/DIKaVcrq0k,1,food,Negative,sadness,2,opened my case and was sad one of my beers died
116,@budweiser must of been the guys last day an said eff it http://t.co/vaSnH5rQhG,0,food,Neutral,other,0,must of been the guys last day an said eff it
117,@ABCustomerCare do you not have email? That numbers going to Cost a Fair bit from the UK!,1,food,neutral,sadness,2,do you not have email? That numbers going to Cost a Fair bit from the UK!
118,@AnheuserBusch your bud exchange website is a JOKE!!,1,food,negative,anger,2,your bud exchange website is a JOKE!
119,@SHO_Network @sho_help Deadfall 1993 is playing Deadfall 2012 on Showtime streaming. Using Playstation Vue.,1,software,neutral,sadness,1,Deadfall 1993 is playing Deadfall 2012 on Showtime streaming. Using Playstation Vue.
120,@sho_help why can't I enter my username/password on appletv? Why does showtime hate me?! Endless cycle of input :(,1,software,Negative,anger,2,why can't I enter my username/password on appletv? Why does showtime hate me?! Endless cycle of input :(
121,"@sho_help hello, i have the uverse 300 package that includes showtime, shouldn't i have access to showtimeanytime or no?",0,software,Neutral,sadness,0,"hello, i have the uverse 300 package that includes showtime, shouldn't i have access to showtimeanytime or no?"
122,@SHO_Network I am getting server errors when I try to activate a device. Plz help,1,software,neutral,sadness,1,I am getting server errors when I try to activate a device. Plz help
123,@ASeasonWith it polite to reply!!!,0,software,Neutral,anger,0,it polite to reply!
124,"@Showtime ur app on my xbox 360 constantly having server errors, cant get throught one episode of Homeland without error.",1,software,Neutral,anger,3,"ur app on my xbox 360 constantly having server errors, cant get throught one episode of Homeland without error."
125,@sho_help can't stream sho anytime on Apple TV and  iPad.  What gives?,1,software,Neutral,sadness,1,can't stream sho anytime on Apple TV and iPad. What gives?
126,"@Showtime problems with @DIRECTV users using Showtime anytime today?  Keep getting ""internal error""",1,software,Negative,sadness,1,"problems with @DIRECTV users using Showtime anytime today? Keep getting ""internal error"""
127,I just want everyone to know that sho_help / @Showtime has the absolute worst customer service I have ever received. Ever.,1,software,Negative,anger,4,I just want everyone to know that sho_help / @Showtime has the absolute worst customer service I have ever received. Ever.
128,@sho_help absolute nonsense that i have to log in every time i watch on appletv. tonight was logged out WHILE WATCHING. what are you doing?,1,software,Negative,anger,4,absolute nonsense that i have to log in every time i watch on appletv. tonight was logged out WHILE WATCHING. what are you doing?
129,@ChryslerCares my car turns itself off while driving. I'm supposed to hear from resolution team but I've called 4 times no call back.,1,cars,Negative,anger,2,Confused between anger and sadness
130,@ChryslerCares I have a mother question my car fairly new and breaks making a noise rear one and as well smoke smell comes out /:,1,cars,Negative,sadness,1,I have a mother question my car fairly new and breaks making a noise rear one and as well smoke smell comes out /:
131,@scrapfabric @DICKS TOTALLY not cool.,1,apparel,Negative,anger,2,not cool
132,"@DICKS Can you help me find any of the below style numbers in SZ 13 Mens 310805-102, 528895-007, 306008-013, 378037-117",0,apparel,Positive,other,0,Can you help me find any of the below style numbers in SZ 13 Mens
133, We're about the only people @DICKS in this and still can't get anyone to help us. #customerservice https://t.co/70R5PMOck1,1,apparel,neutral,anger,3,We're about the only people @DICKS in this and still can't get anyone to help us. #customerservice
134,"@DICKS I can't understand how Dick's has a store credit card, but you can't use it online.",1,apparel,neutral,anger,2,"I can't understand how Dick's has a store credit card, but you can't use it online"
135,"@DICKS tried to buy this today. Above the rack said 40% off apparel. Was told hats are not considered ""apparel"" https://t.co/vxtNI1Frm7",1,apparel,Neutral,sadness,2," Above the rack said 40% off apparel. Was told hats are not considered ""apparel"""
136,@DSGSupport worst customer service ever. Waste of time. It was supposed to be a gift to someone and now what..?,1,apparel,Negative,anger,4,worst customer service ever. Waste of time. It was supposed to be a gift to someone and now what..?
137,@DICKS why you messing with me https://t.co/t5JN4joj6k,1,apparel,Neutral,anger,3,why you messing with me
138,"Was happy to find out @Showtime had an app to watch all their shows, until 6 episodes in it stops working. Thanks! @sho_help",1,software,neutral,sadness,2,"Was happy to find out @Showtime had an app to watch all their shows, until 6 episodes in it stops working."
139,@sho_help the Showtime Anytime app is the WORST. It stopped working 4 times while trying to finish Homeland and now it won't play at all.,1,software,Negative,anger,3,the Showtime Anytime app is the WORST. It stopped working 4 times while trying to finish Homeland and now it won't play at all.
140,"@sho_help trying to watch Showtime on my iPad, keep getting network issues. Hulu and Netflix are working fine. Help?",1,software,neutral,sadness,1,"trying to watch Showtime on my iPad, keep getting network issues. Hulu and Netflix are working fine. Help?"
141,@RandySchreck @sho_help yes! Why are the apps down?!,1,software,Positive,anger,2,yes! Why are the apps down?
142,"Apparently the #showtime app *is* down. Thanks for the confirmation, @craigpeters. Also get your act together @showtime, @sho_help.",1,software,Positive,anger,3,Apparently the #showtime app *is* down.
143,"I HATE my @Chrysler #Sebring so much! this thing is an electrical #lemon  dash lights, headlights, windows, wipers..all garbage!  #regretful",1,cars,Negative,anger,4,"I HATE my @Chrysler #Sebring so much! this thing is an electrical #lemon dash lights, headlights, windows, wipers..all garbage! #regretful"
144,@DICKS How many Nebraska shirts do you think you will sell with this graphic? https://t.co/Wwqz8IGL8C,1,apparel,Neutral,other,2,How many Nebraska shirts do you think you will sell with this graphic?
145,@DICKS I think your Cyber Monday 25% off is broken. It's not showing up in my cart. Or you are lying. I just want a cheap set of weights.,1,apparel,Negative,anger,3,I think your Cyber Monday 25% off is broken. It's not showing up in my cart. Or you are lying. I just want a cheap set of weights.
146,"@DICKS  Want to buy Timberland Pro boots. Your website states 25% off. Checked exclusions, they are not listed, still no deduction in cart.",1,apparel,neutral,sadness,2,"Want to buy Timberland Pro boots. Your website states 25% off. Checked exclusions, they are not listed, still no deduction in cart"
147,Just bought these @brooksrunning Launch 2s 1 month ago from @DICKS &amp; they already have a hole! 1 month!?! #nothappy https://t.co/Ea6mCzUazY,1,apparel,Neutral,anger,3,Just bought these @brooksrunning Launch 2s 1 month ago from @DICKS &amp; they already have a hole! 1 month!?! #nothappy
148,@DICKS how the fuck you gonna have Providence Friars sweatshirts but not SJSU?!?!,1,apparel,Negative,anger,4,how the fuck you gonna have Providence Friars sweatshirts but not SJSU?
149,On hold with @DICKS an hour just to get told to call back another day. Hell yeah,1,apparel,Negative,other,3,On hold with @DICKS an hour just to get told to call back another day.
150,@DSGSupport here's a better pic. Order # was 3264677178. Please message me for any additional information required https://t.co/iTjWrWPX1V,0,apparel,Positive,other,0,here's a better pic. Order # was 3264677178. Please message me for any additional information required
151,Worst customer service to-date @DICKS in Greensboro off Wendover. Avoid this place and let's show them we have other choices. #otherchoices,1,apparel,Negative,anger,3,Worst customer service to-date @DICKS in Greensboro off Wendover. Avoid this place and let's show them we have other choices. #otherchoices
152,@DICKS When u send packages u should really put them in a box so you don't ruin a kids X-mas morning 25 days early! https://t.co/3ISL3sXgao,1,apparel,negative,anger,4,When u send packages u should really put them in a box so you don't ruin a kids X-mas morning 25 days early!
153,@DSGSupport can you dm me for why my order got canceled? Thanks,1,apparel,positive,other,1,Confused between other and sadness
154,No chill @DICKS #BeatsByDre https://t.co/85Oqvzwt4y,1,apparel,Negative,other,2,no chill
155,@DICKS just ruined my kids Christmas by canceling my order. So long ping pong table. #fixthisDicks,1,apparel,Negative,anger,4,just ruined my kids Christmas by canceling my order.So long ping pong table. #fixthisDicks
156,Real disappointed in @DICKS leaving me high and dry. Ordered some new Iowa gear Tues with 1 day shipping and it hasnt even shipped yet...,1,apparel,Negative,anger,3,Real disappointed in @DICKS leaving me high and dry. Ordered some new Iowa gear Tues with 1 day shipping and it hasnt even shipped yet.
